Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.6089838513012395253745503797,0.60898385130124,0.60898385130124,0.60898385130124,0.60898385130124,0,0,0,0,9.91622929969976,39.202740797134832195845225498,39.202740797134832195845225498,307697.2
0.02,0,0.5247415951676578645534061883,0.524741595167658,0.524741595167658,0.524741595167658,0.524741595167658,0,0,0,0,9.91622929969976,39.202740797134832195845225498,39.202740797134832195845225498,615394.4
0.03,0,0.5340393580628763165079367339,0.534039358062876,0.534039358062876,0.534039358062876,0.534039358062876,0,0,0,0,9.91622929969976,39.202740797134832195845225498,39.202740797134832195845225498,923091.6
0.04,0,0.5326916762196501860174796452,0.53269167621965,0.53269167621965,0.53269167621965,0.53269167621965,0,0,0,0,9.91622929969976,39.202740797134832195845225498,39.202740797134832195845225498,1230789
0.05,0,0.5283445854758730619832088698,0.528344585475873,0.528344585475873,0.528344585475873,0.528344585475873,0,0,0,0,9.91622929969976,39.202740797134832195845225498,39.202740797134832195845225498,1538486
0.06,0,0.5307053736080866306891654037,0.530705373608087,0.530705373608087,0.530705373608087,0.530705373608087,0,0,0,0,9.91622929969976,39.202740797134832195845225498,39.202740797134832195845225498,1846183
0.07,0,0.5324444957240704944442994953,0.532444495724071,0.532444495724071,0.532444495724071,0.532444495724071,0,0,0,0,9.91622929969976,39.202740797134832195845225498,39.202740797134832195845225498,2153880
0.08,0,0.5330586492042862807889236934,0.533058649204286,0.533058649204286,0.533058649204286,0.533058649204286,0,0,0,0,9.91622929969976,39.202740797134832195845225498,39.202740797134832195845225498,2461578
0.09,0,0.5330148371918735942722713899,0.533014837191874,0.533014837191874,0.533014837191874,0.533014837191874,0,0,0,0,9.91622929969976,39.202740797134832195845225498,39.202740797134832195845225498,2769275
0.10,0,0.5329868026177499197670807371,0.53298680261775,0.53298680261775,0.53298680261775,0.53298680261775,0,0,0,0,9.91622929969976,39.202740797134832195845225498,39.202740797134832195845225498,3076972
0.11,0,0.5329810022136109608486780635,0.532981002213611,0.532981002213611,0.532981002213611,0.532981002213611,0,0,0,0,9.91622929969976,39.202740797134832195845225498,39.202740797134832195845225498,3384669
0.12,0,0.5329750767697746068153865259,0.532975076769775,0.532975076769775,0.532975076769775,0.532975076769775,0,0,0,0,9.91622929969976,39.202740797134832195845225498,39.202740797134832195845225498,3692366
